ApplicationID,TestDate,QuantitativeScore,LogicalScore,VerbalScore,TotalScore
A00733,2024-08-28,29,32,21,82
A00734,2024-10-31,11,40,32,83
A00735,2024-06-15,28,40,34,102
A00736,2024-11-09,24,16,15,55
A00737,2024-12-05,21,39,27,87
A00738,2024-09-24,33,18,17,68
A00739,2024-09-27,34,32,21,87
A00740,2023-12-22,40,36,19,95
A00741,2024-09-14,28,35,36,99
A00742,2024-06-14,24,22,12,58
A00743,2024-08-15,38,38,30,106
A00744,2024-06-15,19,20,19,58
A00745,2024-06-24,34,11,19,64
A00746,2024-01-20,39,10,39,88
A00747,2024-06-07,19,16,32,67
A00748,2024-08-25,24,12,39,75
A00749,2024-08-20,10,22,16,48
A00750,2024-05-20,39,29,39,107
A00751,2024-04-04,31,34,18,83
A00752,2024-10-01,29,35,34,98
A00753,2024-05-09,14,25,11,50
A00754,2024-05-21,32,15,26,73
A00755,2024-01-08,10,13,33,56
A00756,2024-05-02,22,14,28,64
A00757,2024-05-28,34,17,29,80
A00758,2024-10-08,39,22,23,84
A00759,2024-01-12,11,36,29,76
A00760,2024-09-13,34,26,14,74
A00761,2024-07-31,19,37,26,82
A00762,2024-09-20,38,18,10,66
A00763,2024-02-29,14,28,12,54
A00764,2024-09-27,20,12,23,55
A00765,2024-02-01,34,22,21,77
A00766,2024-05-15,18,16,10,44
A00767,2024-03-24,23,33,12,68
A00768,2024-03-24,10,25,39,74
A00769,2024-06-25,38,33,29,100
A00770,2024-06-19,32,17,26,75
A00771,2024-05-02,33,29,33,95
A00772,2024-01-20,33,11,21,65
A00773,2024-07-23,17,36,38,91
A00774,2024-06-18,27,35,10,72
A00775,2024-07-27,16,34,31,81
A00776,2024-08-08,37,31,30,98
A00777,2024-06-10,10,15,20,45
A00778,2023-12-18,27,18,13,58
A00779,2024-07-13,28,29,10,67
A00780,2024-05-31,33,26,18,77
A00781,2024-01-17,30,31,36,97
A00782,2024-02-14,32,11,37,80
A00783,2024-11-25,26,19,13,58
A00784,2024-05-16,40,35,35,110
A00785,2024-07-12,34,33,36,103
A00786,2024-01-10,10,15,21,46
A00787,2024-07-17,14,39,37,90
A00788,2024-09-26,35,19,23,77
A00789,2024-03-11,14,13,13,40
A00790,2024-09-12,37,18,24,79
A00791,2024-01-06,19,23,30,72
A00792,2024-01-15,26,32,23,81
A00793,2024-10-30,24,32,25,81
A00794,2024-07-17,24,30,35,89
A00795,2023-12-10,17,19,10,46
A00796,2024-11-28,15,22,15,52
A00797,2024-07-17,13,38,10,61
A00798,2024-10-26,28,28,31,87
A00799,2024-04-14,10,39,12,61
A00800,2024-03-18,32,18,37,87
A00801,2024-10-27,24,32,12,68
A00802,2024-07-11,36,19,23,78
A00803,2024-06-16,17,34,18,69
A00804,2023-12-29,27,18,21,66
A00805,2024-10-08,14,28,26,68
A00806,2024-07-17,20,26,13,59
A00807,2024-03-07,20,36,18,74
A00808,2024-10-09,20,31,37,88
A00809,2024-11-22,21,26,15,62
A00810,2024-03-25,27,38,11,76
A00811,2024-09-25,39,10,24,73
A00812,2024-05-25,32,30,18,80
A00813,2024-04-23,13,38,10,61
A00814,2024-04-29,18,21,24,63
A00815,2024-09-25,13,25,27,65
A00816,2024-11-21,15,21,26,62
A00817,2023-12-11,20,16,34,70
A00818,2024-03-26,19,35,19,73
A00819,2024-05-05,13,39,37,89
A00820,2024-03-27,30,17,22,69
A00821,2024-05-16,14,24,40,78
A00822,2024-10-01,11,18,28,57
A00823,2024-03-03,17,34,29,80
A00824,2024-08-20,21,27,22,70
A00825,2024-08-29,37,38,27,102
A00826,2024-07-29,19,37,31,87
A00827,2024-03-22,37,14,27,78
A00828,2024-09-03,39,19,33,91
A00829,2024-10-11,16,10,37,63
A00830,2023-12-24,15,24,27,66
A00831,2024-10-04,34,39,28,101
A00832,2024-01-11,31,35,11,77
A00833,2024-03-30,21,27,23,71
A00834,2024-10-04,40,19,29,88
A00835,2024-10-21,37,39,19,95
A00836,2024-06-17,27,33,26,86
A00837,2024-06-15,18,37,13,68
A00838,2024-06-04,25,25,14,64
A00839,2024-03-30,21,32,17,70
A00840,2024-03-01,17,27,24,68
A00841,2024-02-05,17,35,34,86
A00842,2024-10-16,35,28,17,80
A00843,2024-07-20,38,23,33,94
A00844,2024-04-08,24,10,11,45
A00845,2024-03-18,35,17,11,63
A00846,2024-08-09,39,10,22,71
A00847,2024-09-07,37,16,25,78
A00848,2024-09-25,29,30,10,69
A00849,2024-10-22,33,35,23,91
A00850,2024-05-01,38,29,25,92
A00851,2024-08-25,17,25,14,56
A00852,2024-10-11,36,24,23,83
A00853,2024-02-02,18,20,24,62
A00854,2024-01-22,18,22,18,58
A00855,2024-09-04,23,28,34,85
A00856,2024-09-17,20,24,24,68
A00857,2024-12-08,34,18,27,79
A00858,2024-09-28,25,37,24,86
A00859,2024-06-22,18,19,37,74
A00860,2024-01-26,34,24,16,74
A00861,2024-08-22,39,40,26,105
A00862,2024-10-21,19,36,12,67
A00863,2024-09-23,34,40,28,102
A00864,2024-01-20,23,40,12,75
A00865,2024-11-29,32,26,26,84
A00866,2024-05-28,15,26,40,81
A00867,2024-01-02,13,27,16,56
A00868,2024-03-15,27,23,38,88
A00869,2024-02-12,34,26,13,73
A00870,2024-12-05,25,33,36,94
A00871,2024-06-12,27,13,34,74
A00872,2024-10-24,20,22,31,73
A00873,2024-03-26,22,32,23,77
A00874,2024-06-17,15,31,16,62
A00875,2024-11-09,15,23,30,68
A00876,2024-05-03,20,30,30,80
A00877,2024-01-12,10,24,10,44
A00878,2024-10-22,36,28,26,90
A00879,2024-01-10,23,32,12,67
A00880,2024-01-15,20,33,38,91
A00881,2024-05-29,38,30,37,105
A00882,2024-08-24,23,16,40,79
A00883,2024-01-11,34,14,25,73
A00884,2024-07-22,10,28,29,67
A00885,2024-04-14,17,35,24,76
A00886,2024-07-18,40,29,34,103
A00887,2024-12-08,10,36,22,68
A00888,2024-05-28,31,21,31,83
A00889,2024-02-21,29,33,35,97
A00890,2024-07-12,35,37,17,89
A00891,2024-10-30,24,21,34,79
A00892,2023-12-29,23,31,29,83
A00893,2024-01-02,15,24,32,71
A00894,2024-10-10,11,27,33,71
A00895,2024-07-14,10,37,22,69
A00896,2024-09-10,37,16,28,81
A00897,2024-12-04,35,13,38,86
A00898,2024-05-16,15,20,24,59
A00899,2024-07-20,38,17,19,74
A00900,2024-06-15,14,27,32,73
A00901,2024-05-01,31,35,24,90
A00902,2024-03-11,34,26,16,76
A00903,2024-06-21,17,14,36,67
A00904,2023-12-31,28,21,20,69
A00905,2024-05-26,36,32,39,107
A00906,2024-04-23,11,25,17,53
A00907,2024-05-06,10,27,20,57
A00908,2024-09-07,15,38,17,70
A00909,2024-06-24,40,21,36,97
A00910,2024-07-07,15,11,25,51
A00911,2024-10-18,23,14,33,70
A00912,2024-02-17,23,14,32,69
A00913,2024-10-11,33,14,17,64
A00914,2024-06-14,27,32,22,81
A00915,2024-10-24,13,31,15,59
A00916,2024-10-11,31,11,35,77
A00917,2024-11-06,30,13,39,82
A00918,2024-01-30,39,29,39,107
A00919,2024-11-28,20,25,38,83
A00920,2024-11-29,35,23,26,84
A00921,2023-12-14,14,38,22,74
A00922,2024-11-02,22,21,35,78
A00923,2024-07-28,30,31,28,89
A00924,2024-05-13,26,21,32,79
A00925,2024-05-23,14,36,38,88
A00926,2024-03-09,23,12,33,68
A00927,2024-05-09,20,37,35,92
A00928,2024-01-07,13,40,21,74
A00929,2024-09-03,28,40,16,84
A00930,2024-12-06,10,30,11,51
A00931,2024-07-18,29,31,39,99
A00932,2023-12-27,33,35,40,108
A00933,2024-11-16,23,27,33,83
A00934,2024-09-11,16,20,11,47
A00935,2024-11-15,33,15,25,73
A00936,2024-07-29,22,34,39,95
A00937,2024-04-01,33,29,40,102
A00938,2024-02-06,31,21,16,68
A00939,2024-11-16,12,23,30,65
A00940,2024-03-22,16,28,10,54
A00941,2024-02-21,26,36,19,81
A00942,2024-02-02,13,25,36,74
A00943,2024-08-12,16,13,13,42
A00944,2024-11-06,24,13,21,58
A00945,2024-11-28,18,36,39,93
A00946,2024-09-08,35,18,12,65
A00947,2024-05-20,11,26,17,54
A00948,2024-02-05,26,22,31,79
A00949,2024-03-17,31,25,20,76
A00950,2024-10-14,11,24,15,50
A00951,2024-01-05,14,23,28,65
A00952,2024-02-14,30,28,21,79
A00953,2024-02-25,26,28,10,64
A00954,2024-05-12,29,10,40,79
A00955,2024-03-21,29,22,12,63
A00956,2024-11-29,34,40,38,112
A00957,2024-11-19,18,11,38,67
A00958,2024-10-16,23,13,12,48
A00959,2024-03-22,33,17,10,60
A00960,2024-09-03,16,20,32,68
A00961,2024-08-15,35,25,19,79
A00962,2024-02-05,37,16,12,65
A00963,2024-07-07,21,13,25,59
A00964,2024-08-16,17,11,32,60
A00965,2024-10-30,32,35,10,77
A00966,2024-08-07,10,29,28,67
A00967,2024-05-18,40,35,30,105
A00968,2024-11-28,11,15,20,46
A00969,2024-03-23,38,11,24,73
A00970,2024-05-25,35,18,17,70
A00971,2024-08-11,25,38,35,98
A00972,2024-08-17,13,38,35,86
A00973,2024-04-26,23,24,34,81
A00974,2024-05-28,34,23,27,84
A00975,2024-05-19,14,32,26,72
A00976,2024-06-15,37,27,21,85
A00977,2024-04-30,35,15,27,77
A00978,2024-11-02,12,36,32,80
A00979,2024-05-19,18,33,16,67
A00980,2024-05-17,25,32,35,92
A00981,2024-03-13,19,39,18,76
A00982,2024-03-02,27,23,26,76
A00983,2024-11-26,15,29,15,59
A00984,2024-03-19,33,24,35,92
A00985,2024-07-19,39,12,35,86
A00986,2024-07-03,36,38,29,103
A00987,2024-03-10,34,34,15,83
A00988,2024-03-16,30,31,31,92
A00989,2024-07-25,17,29,34,80
A00990,2024-07-28,39,30,31,100
A00991,2024-04-07,15,16,37,68
A00992,2024-09-25,32,29,36,97
A00993,2024-08-25,14,37,28,79
A00994,2024-10-12,33,27,24,84
A00995,2024-07-18,40,27,39,106
A00996,2024-02-18,18,15,10,43
A00997,2024-09-01,24,25,24,73
A00998,2024-03-23,19,28,39,86
A00999,2024-10-01,20,28,26,74
A01000,2024-01-22,20,28,34,82
A01001,2024-08-18,14,40,37,91
A01002,2024-08-09,19,30,13,62
A01003,2024-08-26,26,25,32,83
A01004,2024-09-30,10,37,19,66
A01005,2024-08-19,15,32,26,73
A01006,2024-02-19,26,24,30,80
A01007,2024-04-14,22,24,16,62
A01008,2023-12-14,31,11,32,74
A01009,2024-01-05,26,11,13,50
A01010,2024-09-02,19,25,12,56
A01011,2024-01-06,28,27,34,89
A01012,2024-05-09,27,21,31,79
A01013,2024-09-17,37,40,35,112
A01014,2024-06-28,34,19,31,84
A01015,2024-10-19,17,26,34,77
A01016,2024-10-29,33,35,20,88
A01017,2023-12-20,13,22,19,54
A01018,2024-05-26,29,37,11,77
A01019,2024-09-16,36,24,12,72
A01020,2023-12-29,39,14,26,79
A01021,2024-09-18,18,16,39,73
A01022,2024-06-21,32,30,13,75
A01023,2024-04-18,11,33,29,73
A01024,2024-10-28,29,18,12,59
A01025,2024-02-27,27,34,10,71
A01026,2024-05-10,10,24,32,66
A01027,2024-02-06,23,19,22,64
A01028,2024-12-03,24,23,25,72
A01029,2024-05-22,15,32,18,65
A01030,2024-06-16,31,19,28,78
A01031,2024-11-15,17,25,33,75
A01032,2024-02-11,17,30,33,80
A01033,2024-03-20,21,13,31,65
A01034,2024-02-22,28,20,27,75
A01035,2024-08-20,10,33,32,75
A01036,2024-01-07,23,21,13,57
A01037,2024-07-12,22,12,19,53
A01038,2024-11-13,37,38,30,105
A01039,2024-02-11,37,37,19,93
A01040,2024-06-05,29,20,12,61
A01041,2024-06-27,25,16,30,71
A01042,2024-10-30,16,38,33,87
A01043,2024-03-29,12,40,19,71
A01044,2024-07-08,37,38,36,111
A01045,2024-06-15,37,38,28,103
A01046,2024-09-22,25,18,21,64
A01047,2024-02-24,34,22,19,75
A01048,2024-09-14,32,19,30,81
A01049,2024-02-27,26,26,40,92
A01050,2024-06-29,38,19,22,79
A01051,2024-03-31,35,35,10,80
A01052,2023-12-30,22,28,37,87
A01053,2024-06-04,31,28,10,69
A01054,2024-08-27,22,12,33,67
A01055,2024-05-03,35,32,33,100
A01056,2024-08-22,32,13,15,60
A01057,2024-07-01,27,34,15,76
A01058,2024-02-27,11,12,21,44
A01059,2024-09-22,17,33,20,70
A01060,2024-03-31,35,33,40,108
A01061,2024-03-16,19,15,20,54
A01062,2024-08-08,12,30,39,81
A01063,2024-11-10,37,33,10,80
A01064,2024-11-22,20,29,28,77
A01065,2024-05-05,20,21,25,66
A01066,2024-03-02,13,27,37,77
A01067,2024-04-26,16,29,39,84
A01068,2023-12-26,37,32,21,90
A01069,2024-02-18,11,38,20,69
A01070,2024-10-25,31,39,11,81
A01071,2024-09-29,32,40,32,104
A01072,2023-12-30,31,19,29,79
A01073,2024-08-11,17,38,19,74
A01074,2024-09-13,32,33,13,78
A01075,2024-08-14,34,35,18,87
A01076,2024-08-27,17,10,32,59
A01077,2024-11-09,20,12,30,62
A01078,2024-09-18,28,37,13,78
A01079,2024-05-04,11,10,13,34
A01080,2024-09-29,12,23,16,51
A01081,2024-11-05,39,38,27,104
A01082,2024-02-22,28,13,22,63
A01083,2024-04-29,33,30,39,102
A01084,2024-03-31,14,13,32,59
A01085,2024-11-04,11,34,18,63
A01086,2024-11-06,13,34,30,77
A01087,2024-09-17,26,28,22,76
A01088,2024-07-11,28,22,23,73
A01089,2024-09-20,23,12,27,62
A01090,2024-06-27,24,15,24,63
A01091,2024-10-15,16,26,29,71
A01092,2024-08-29,40,29,11,80
A01093,2024-07-01,23,24,21,68
A01094,2024-08-19,11,20,40,71
A01095,2024-04-05,32,39,32,103
A01096,2024-08-11,15,15,18,48
A01097,2024-01-28,40,26,35,101
A01098,2024-08-23,19,21,24,64
A01099,2024-01-16,25,26,25,76
A01100,2024-04-12,20,29,39,88
A01101,2024-05-16,13,32,19,64
A01102,2024-11-17,19,27,17,63
A01103,2024-11-18,30,12,18,60
A01104,2023-12-29,36,12,18,66
A01105,2024-09-03,11,31,25,67
A01106,2024-10-19,34,20,26,80
A01107,2024-06-29,28,28,37,93
A01108,2024-06-18,38,12,20,70
A01109,2024-08-25,10,12,39,61
A01110,2024-01-26,12,36,30,78
A01111,2024-10-04,25,15,30,70
A01112,2024-07-22,21,29,10,60
A01113,2024-05-10,32,39,38,109
A01114,2024-03-28,24,37,21,82
A01115,2024-10-25,15,12,30,57
A01116,2024-10-04,16,10,20,46
A01117,2024-06-02,29,34,11,74
A01118,2024-03-05,22,36,37,95
A01119,2023-12-31,33,24,13,70
A01120,2024-03-19,29,16,31,76
A01121,2024-07-13,35,27,33,95
A01122,2024-11-12,23,10,15,48
A01123,2024-04-25,33,10,17,60
A01124,2024-06-26,14,16,35,65
A01125,2024-06-01,30,13,13,56
A01126,2024-09-24,12,23,11,46
A01127,2024-03-14,15,19,20,54
A01128,2023-12-29,23,40,40,103
A01129,2024-02-19,13,15,39,67
A01130,2024-11-28,26,28,18,72
A01131,2024-03-04,27,37,32,96
A01132,2024-08-07,30,21,11,62
A01133,2024-07-17,22,11,38,71
A01134,2024-05-19,14,11,30,55
A01135,2024-08-07,26,20,15,61
A01136,2024-05-18,10,25,35,70
A01137,2024-10-11,13,16,40,69
A01138,2024-02-24,34,21,13,68
A01139,2024-05-04,33,22,11,66
A01140,2024-06-05,19,21,33,73
A01141,2024-09-14,32,36,21,89
A01142,2024-06-09,26,11,26,63
A01143,2024-07-29,29,17,18,64
A01144,2024-05-25,17,22,34,73
A01145,2024-01-29,20,35,36,91
A01146,2024-02-01,32,17,16,65
A01147,2024-04-19,17,33,17,67
A01148,2024-02-14,31,14,16,61
A01149,2024-11-16,21,11,35,67
A01150,2024-01-11,33,30,37,100
A01151,2024-07-13,33,37,15,85
A01152,2024-09-25,38,21,17,76
A01153,2024-02-17,28,37,38,103
A01154,2024-09-18,15,28,33,76
A01155,2024-06-21,25,31,16,72
A01156,2024-07-24,31,28,36,95
A01157,2023-12-23,30,24,35,89
A01158,2024-09-05,21,17,23,61
A01159,2024-03-11,40,10,18,68
A01160,2024-06-14,31,23,37,91
A01161,2024-11-16,14,19,26,59
A01162,2024-01-04,13,12,20,45
A01163,2024-05-04,11,37,23,71
A01164,2024-05-21,10,29,36,75
A01165,2024-01-11,20,17,25,62
A01166,2024-08-13,31,36,32,99
A01167,2024-08-05,12,40,37,89
A01168,2024-10-15,37,16,14,67
A01169,2024-05-01,34,36,19,89
A01170,2024-12-09,35,33,34,102
A01171,2024-02-18,33,11,25,69
A01172,2024-05-30,32,34,12,78
A01173,2024-02-02,10,40,15,65
A01174,2024-05-02,21,16,26,63
A01175,2024-07-25,34,31,10,75
A01176,2024-01-28,31,22,21,74
A01177,2024-02-16,16,38,28,82
A01178,2024-04-06,26,40,24,90
A01179,2024-07-25,39,23,20,82
A01180,2024-03-10,33,15,18,66
A01181,2024-01-23,19,36,26,81
A01182,2024-04-15,34,11,28,73
A01183,2024-11-08,33,30,26,89
A01184,2024-03-04,21,39,25,85
A01185,2023-12-15,21,19,15,55
A01186,2024-11-14,38,16,34,88
A01187,2024-05-27,38,29,22,89
A01188,2024-07-16,35,31,11,77
A01189,2024-01-20,39,20,24,83
A01190,2024-04-23,32,10,13,55
A01191,2024-03-31,26,38,26,90
A01192,2024-05-23,28,18,11,57
A01193,2024-08-06,37,20,11,68
A01194,2024-10-14,14,20,28,62
A01195,2024-10-16,15,15,28,58
A01196,2024-06-21,28,23,12,63
A01197,2024-02-21,13,10,29,52
A01198,2024-08-01,33,14,35,82
A01199,2024-05-09,14,15,14,43
A01200,2024-04-30,23,19,32,74
A01201,2024-06-04,20,31,23,74
A01202,2024-03-24,13,36,24,73
A01203,2024-01-25,13,38,16,67
A01204,2024-09-30,11,19,24,54
A01205,2024-04-15,33,16,18,67
A01206,2024-08-17,14,39,40,93
A01207,2024-09-04,11,20,34,65
A01208,2024-11-22,14,39,34,87
A01209,2024-06-29,10,23,21,54
A01210,2023-12-20,14,21,29,64
A01211,2024-01-17,32,30,34,96
A01212,2024-02-01,18,40,37,95
A01213,2024-10-12,28,36,19,83
A01214,2024-04-16,11,32,12,55
A01215,2024-04-16,26,17,14,57
A01216,2024-04-09,24,38,24,86
A01217,2024-07-26,23,35,29,87
A01218,2024-11-19,17,32,12,61
A01219,2024-12-08,32,37,31,100
A01220,2024-01-13,14,10,27,51
A01221,2024-10-31,31,17,19,67
A01222,2024-09-22,20,32,34,86
A01223,2024-04-12,11,10,33,54
A01224,2024-09-24,33,19,35,87
A01225,2024-01-17,24,33,36,93
A01226,2024-08-14,12,32,40,84
A01227,2024-07-17,37,28,30,95
A01228,2024-01-12,29,27,11,67
A01229,2024-10-06,16,33,32,81
A01230,2024-01-10,36,16,18,70
A01231,2024-12-09,29,28,22,79
A01232,2024-06-08,13,21,28,62
A01233,2024-08-08,25,12,20,57
A01234,2024-06-04,13,14,36,63
A01235,2024-03-24,12,39,28,79
A01236,2024-11-02,29,17,27,73
A01237,2024-09-10,39,37,37,113
A01238,2024-06-19,38,31,10,79
A01239,2024-08-17,18,10,40,68
A01240,2024-01-02,33,14,19,66
A01241,2024-03-10,26,18,24,68
A01242,2023-12-14,24,14,38,76
A01243,2024-07-14,12,31,19,62
A01244,2024-07-07,37,10,12,59
A01245,2024-02-03,14,21,19,54
A01246,2024-09-21,19,10,19,48
A01247,2024-01-22,11,38,28,77
A01248,2024-07-13,36,11,24,71
A01249,2024-08-28,35,30,15,80
A01250,2024-02-07,24,33,16,73
A01251,2024-09-18,28,25,32,85
A01252,2024-03-06,39,33,37,109
A01253,2024-06-08,18,18,22,58
A01254,2024-01-22,25,30,30,85
A01255,2024-07-07,11,35,17,63
A01256,2024-03-05,26,21,11,58
A01257,2024-10-12,28,21,34,83
A01258,2024-06-23,31,28,29,88
A01259,2024-07-30,18,18,24,60
A01260,2024-12-05,40,10,21,71
A01261,2024-09-17,39,12,25,76
A01262,2024-04-27,36,12,11,59
A01263,2024-06-30,34,16,38,88
A01264,2024-08-21,33,38,38,109
A01265,2024-11-21,20,11,22,53
A01266,2024-02-24,10,14,27,51
A01267,2023-12-22,12,37,19,68
A01268,2024-09-24,24,32,11,67
A01269,2024-01-25,28,24,12,64
A01270,2024-07-12,14,29,27,70
A01271,2024-03-26,18,35,40,93
A01272,2024-02-26,25,36,19,80
A01273,2024-08-20,31,29,40,100
A01274,2024-04-15,38,19,22,79
A01275,2024-10-10,30,26,34,90
A01276,2024-01-13,40,33,37,110
A01277,2024-09-15,40,20,13,73
A01278,2024-02-11,22,18,40,80
A01279,2024-03-10,23,30,10,63
A01280,2024-02-25,17,37,40,94
A01281,2024-08-24,26,25,32,83
A01282,2023-12-26,30,14,11,55
A01283,2023-12-19,29,24,13,66
A01284,2024-05-14,12,32,39,83
A01285,2024-02-24,10,33,12,55
A01286,2024-11-12,36,26,22,84
A01287,2024-04-22,30,14,25,69
A01288,2024-08-08,33,24,13,70
A01289,2024-11-04,23,29,22,74
A01290,2024-03-24,26,27,24,77
A01291,2024-08-20,30,36,40,106
A01292,2024-06-25,33,34,37,104
A01293,2024-01-05,13,18,15,46
A01294,2024-03-09,23,18,31,72
A01295,2024-08-02,37,31,18,86
A01296,2024-07-11,40,17,23,80
A01297,2024-04-11,24,37,18,79
A01298,2024-05-03,12,17,14,43
A01299,2024-05-07,10,33,37,80
A01300,2024-03-28,20,22,22,64
A01301,2024-09-29,15,34,15,64
A01302,2024-05-06,29,14,26,69
A01303,2024-03-26,21,38,31,90
A01304,2024-09-25,20,19,15,54
A01305,2024-02-03,40,29,27,96
A01306,2024-05-11,16,12,28,56
A01307,2024-05-26,34,12,33,79
A01308,2024-01-27,11,22,13,46
A01309,2024-09-06,40,15,17,72
A01310,2024-07-23,23,12,17,52
A01311,2024-11-07,16,19,16,51
A01312,2024-04-22,13,40,38,91
A01313,2023-12-31,16,14,23,53
A01314,2024-03-18,31,39,33,103
A01315,2024-10-09,16,35,35,86
A01316,2024-03-14,28,15,21,64
A01317,2024-11-04,10,32,10,52
A01318,2024-04-28,38,20,15,73
A01319,2024-09-18,11,13,20,44
A01320,2024-10-09,21,38,29,88
A01321,2024-07-18,33,17,30,80
A01322,2024-01-23,27,26,38,91
A01323,2024-08-02,20,38,25,83
A01324,2024-01-04,19,28,27,74
A01325,2024-07-03,19,22,30,71
A01326,2023-12-22,12,38,17,67
A01327,2024-11-17,35,28,15,78
A01328,2024-12-03,30,11,33,74
A01329,2024-08-09,22,18,37,77
A01330,2024-07-05,15,37,31,83
A01331,2024-05-24,13,30,40,83
A01332,2023-12-14,12,17,26,55
A01333,2024-08-11,14,23,28,65
A01334,2024-06-26,35,18,27,80
A01335,2024-01-22,38,36,35,109
A01336,2024-10-06,33,15,39,87
A01337,2024-03-24,27,23,37,87
A01338,2024-08-30,30,34,35,99
A01339,2024-02-15,35,25,28,88
A01340,2024-02-24,32,21,23,76
A01341,2024-03-28,37,39,31,107
A01342,2024-04-23,36,40,29,105
A01343,2024-08-26,30,18,37,85
A01344,2024-03-11,15,29,27,71
A01345,2024-02-28,25,19,22,66
A01346,2024-01-04,32,35,14,81
A01347,2024-10-11,10,18,39,67
A01348,2024-02-14,30,23,20,73
A01349,2024-05-11,12,21,40,73
A01350,2024-03-30,24,38,22,84
A01351,2024-09-05,18,26,13,57
A01352,2024-11-01,32,35,19,86
A01353,2024-01-04,35,19,22,76
A01354,2024-02-04,40,34,11,85
A01355,2024-06-06,17,35,15,67
A01356,2024-11-24,24,13,25,62
A01357,2024-01-27,15,18,18,51
A01358,2024-03-04,18,31,22,71
A01359,2024-11-10,36,19,40,95
A01360,2023-12-20,34,13,29,76
A01361,2024-01-13,23,13,34,70
A01362,2024-08-01,34,34,38,106
A01363,2024-06-06,18,40,28,86
A01364,2024-11-28,35,22,10,67
A01365,2024-12-08,40,33,11,84
A01366,2024-07-24,10,22,13,45
A01367,2024-12-07,18,25,33,76
A01368,2024-06-12,35,39,13,87
A01369,2024-07-19,35,36,35,106
A01370,2024-07-07,10,35,37,82
A01371,2024-02-15,30,21,14,65
A01372,2024-01-12,26,30,10,66
A01373,2024-09-25,39,36,16,91
A01374,2024-04-27,38,17,20,75
A01375,2024-10-06,19,11,40,70
A01376,2024-07-25,40,37,18,95
A01377,2024-05-12,37,26,19,82
A01378,2024-01-21,17,23,25,65
A01379,2024-05-19,12,22,40,74
A01380,2024-02-16,15,28,40,83
A01381,2024-01-06,31,37,17,85
A01382,2024-01-11,26,30,18,74
A01383,2024-08-17,23,22,15,60
A01384,2024-06-12,29,23,25,77
A01385,2024-06-21,35,33,20,88
A01386,2024-09-28,16,17,27,60
A01387,2024-09-16,16,34,22,72
A01388,2024-05-19,25,19,29,73
A01389,2024-07-03,29,20,26,75
A01390,2024-07-14,38,11,38,87
A01391,2024-05-05,27,34,34,95
A01392,2024-07-10,26,12,21,59
A01393,2024-06-17,18,29,25,72
A01394,2024-02-17,13,31,17,61
A01395,2024-01-30,11,40,10,61
A01396,2024-10-03,21,18,23,62
A01397,2024-01-04,34,22,18,74
A01398,2023-12-20,23,34,23,80
A01399,2024-07-24,37,12,12,61
A01400,2024-09-05,20,38,18,76
A01401,2024-09-05,28,12,16,56
A01402,2024-05-27,14,16,36,66
A01403,2024-05-26,36,23,15,74
A01404,2024-06-03,38,34,32,104
A01405,2024-04-18,18,32,33,83
A01406,2024-02-04,17,25,33,75
A01407,2024-11-20,22,12,16,50
A01408,2024-07-21,17,23,29,69
A01409,2024-05-22,24,27,10,61
A01410,2024-01-09,13,40,11,64
A01411,2024-06-30,40,18,14,72
A01412,2024-08-26,31,26,26,83
A01413,2024-03-29,33,13,29,75
A01414,2024-09-02,40,37,33,110
A01415,2024-12-07,15,27,11,53
A01416,2024-04-29,15,30,26,71
A01417,2024-09-05,18,38,32,88
A01418,2024-05-02,34,27,35,96
A01419,2024-02-14,39,33,31,103
A01420,2024-09-29,19,13,35,67
A01421,2024-11-19,20,23,10,53
A01422,2024-10-18,14,35,20,69
A01423,2024-07-09,25,31,31,87
A01424,2024-02-22,33,25,28,86
A01425,2024-06-16,35,36,24,95
A01426,2024-08-04,10,16,34,60
A01427,2024-01-22,19,32,18,69
A01428,2024-07-02,24,33,39,96
A01429,2024-08-28,39,25,12,76
A01430,2024-03-31,23,33,12,68
A01431,2024-11-25,32,35,14,81
A01432,2024-12-07,15,16,38,69
A01433,2024-08-07,31,20,19,70
A01434,2024-05-09,39,35,32,106
A01435,2024-03-03,15,25,24,64
A01436,2024-11-27,40,39,15,94
A01437,2024-04-18,35,14,10,59
A01438,2024-05-10,38,19,21,78
A01439,2024-06-05,36,35,35,106
A01440,2024-05-04,19,32,18,69
A01441,2024-04-13,35,20,19,74
A01442,2024-04-22,30,35,17,82
A01443,2024-09-30,38,22,40,100
A01444,2024-04-06,32,31,36,99
A01445,2024-02-03,13,10,14,37
A01446,2024-10-12,22,38,28,88
A01447,2024-05-28,22,36,32,90
A01448,2024-05-16,37,40,26,103
A01449,2024-08-29,28,21,27,76
A01450,2024-08-04,16,13,32,61
A01451,2024-07-03,31,39,31,101
A01452,2024-02-27,33,28,40,101
A01453,2024-08-21,17,23,39,79
A01454,2024-05-21,35,34,38,107
A01455,2024-02-03,30,33,22,85
A01456,2024-02-24,39,21,21,81
A01457,2024-11-26,34,12,10,56
A01458,2024-01-19,20,36,37,93
A01459,2024-07-29,32,11,12,55
A01460,2024-03-21,12,20,22,54
A01461,2024-05-03,34,13,20,67
A01462,2024-08-07,39,20,18,77
A01463,2024-11-02,12,10,17,39
A01464,2024-12-02,12,11,40,63
A01465,2024-05-02,22,17,10,49
A01466,2024-02-26,38,14,18,70
