ApplicationID,Channel,Date,MessageType,ResponseTime (hours)
A01156,WhatsApp,2024-02-21,Thank You,24
A01157,WhatsApp,2024-02-18,Reminder,24
A01158,Phone Call,2024-01-07,Reminder,
A01159,Email,2024-06-14,Thank You,24
A01160,WhatsApp,2024-09-24,Thank You,48
A01161,Email,2024-05-25,Application Status,6
A01162,Email,2024-02-09,Reminder,
A01163,WhatsApp,2024-06-23,Application Status,12
A01164,Phone Call,2024-08-15,Thank You,6
A01165,Email,2024-07-18,Reminder,4
A01166,Email,2024-04-05,Thank You,6
A01167,WhatsApp,2024-01-11,Thank You,
A01168,WhatsApp,2024-07-27,Follow-Up,4
A01169,Email,2024-10-11,Follow-Up,48
A01170,Phone Call,2024-01-04,Application Status,
A01171,WhatsApp,2024-09-28,Application Status,12
A01172,WhatsApp,2024-08-22,Follow-Up,2
A01173,Phone Call,2024-11-27,Application Status,2
A01174,Email,2024-09-30,Follow-Up,6
A01175,Email,2024-07-14,Application Status,24
A01176,Phone Call,2024-05-05,Reminder,2
A01177,Phone Call,2024-04-28,Reminder,2
A01178,Phone Call,2024-05-16,Follow-Up,24
A01179,WhatsApp,2024-01-18,Reminder,24
A01180,Email,2024-08-14,Application Status,48
A01181,Email,2024-08-01,Follow-Up,4
A01182,Phone Call,2024-10-16,Thank You,12
A01183,Phone Call,2024-09-25,Thank You,2
A01184,Email,2024-05-13,Follow-Up,24
A01185,Email,2024-06-05,Thank You,2
A01186,Email,2024-07-24,Follow-Up,4
A01187,Email,2024-07-09,Reminder,2
A01188,Phone Call,2024-04-11,Reminder,24
A01189,Phone Call,2024-04-29,Application Status,4
A01190,Email,2023-12-27,Thank You,12
A01191,Phone Call,2024-12-07,Application Status,48
A01192,Phone Call,2023-12-24,Thank You,
A01193,WhatsApp,2024-09-26,Application Status,6
A01194,Email,2024-10-12,Application Status,
A01195,Phone Call,2024-05-16,Thank You,48
A01196,Phone Call,2024-08-13,Follow-Up,4
A01197,WhatsApp,2024-06-12,Reminder,4
A01198,WhatsApp,2024-08-14,Reminder,48
A01199,Phone Call,2024-03-23,Application Status,6
A01200,WhatsApp,2024-02-22,Thank You,6
A01201,Phone Call,2024-07-31,Application Status,12
A01202,Phone Call,2024-03-23,Follow-Up,12
A01203,Phone Call,2024-06-19,Follow-Up,2
A01204,WhatsApp,2024-10-23,Follow-Up,48
A01205,WhatsApp,2024-03-01,Reminder,24
A01206,WhatsApp,2024-01-05,Follow-Up,6
A01207,WhatsApp,2024-05-07,Application Status,24
A01208,WhatsApp,2024-11-23,Reminder,24
A01209,Email,2024-01-31,Application Status,
A01210,WhatsApp,2024-12-08,Thank You,6
A01211,WhatsApp,2024-03-11,Application Status,
A01212,Email,2024-08-16,Application Status,6
A01213,Email,2024-04-15,Follow-Up,12
A01214,Email,2024-06-06,Reminder,4
A01215,WhatsApp,2024-08-26,Application Status,12
A01216,Email,2024-01-30,Reminder,
A01217,Phone Call,2024-09-12,Thank You,24
A01218,WhatsApp,2024-11-03,Reminder,4
A01219,Phone Call,2024-08-18,Thank You,
A01220,Phone Call,2024-09-06,Thank You,4
A01221,WhatsApp,2024-08-06,Reminder,
A01222,Email,2024-01-13,Application Status,6
A01223,WhatsApp,2024-08-29,Reminder,48
A01224,WhatsApp,2024-03-01,Follow-Up,4
A01225,Phone Call,2023-12-25,Follow-Up,
A01226,WhatsApp,2024-12-03,Reminder,2
A01227,Phone Call,2024-09-29,Follow-Up,6
A01228,Phone Call,2024-06-11,Application Status,24
A01229,Phone Call,2024-09-04,Reminder,2
A01230,WhatsApp,2024-08-31,Thank You,
A01231,Phone Call,2024-02-19,Thank You,4
A01232,WhatsApp,2024-06-20,Application Status,
A01233,Phone Call,2024-07-24,Application Status,6
A01234,Phone Call,2024-07-08,Thank You,24
A01235,Email,2024-02-23,Reminder,6
A01236,Phone Call,2024-11-21,Reminder,
A01237,Email,2023-12-28,Application Status,48
A01238,Email,2023-12-25,Application Status,24
A01239,Email,2024-02-13,Application Status,12
A01240,Email,2024-12-03,Reminder,6
A01241,Email,2024-02-03,Reminder,2
A01242,Phone Call,2024-08-12,Reminder,
A01243,Phone Call,2024-09-27,Follow-Up,6
A01244,Phone Call,2024-12-03,Application Status,48
A01245,Phone Call,2024-10-27,Application Status,
A01246,Email,2024-06-07,Thank You,6
A01247,Email,2024-10-15,Thank You,
A01248,Email,2024-03-26,Reminder,2
A01249,WhatsApp,2024-07-07,Application Status,24
A01250,WhatsApp,2024-05-06,Follow-Up,2
A01251,Phone Call,2024-02-23,Follow-Up,6
A01252,WhatsApp,2024-05-29,Reminder,6
A01253,Email,2024-12-01,Reminder,24
A01254,Phone Call,2024-05-07,Follow-Up,24
A01255,WhatsApp,2024-02-07,Reminder,24
A01256,Email,2024-10-26,Reminder,48
A01257,Email,2024-10-23,Thank You,48
A01258,WhatsApp,2024-06-16,Follow-Up,48
A01259,Email,2024-10-19,Thank You,2
A01260,Phone Call,2024-08-12,Follow-Up,
A01261,Phone Call,2024-02-03,Follow-Up,12
A01262,Email,2024-03-09,Application Status,6
A01263,Email,2023-12-30,Follow-Up,2
A01264,Email,2024-06-27,Reminder,48
A01265,Phone Call,2023-12-28,Reminder,12
A01266,Email,2023-12-27,Follow-Up,24
A01267,Phone Call,2023-12-11,Thank You,6
A01268,Phone Call,2024-11-03,Thank You,24
A01269,WhatsApp,2024-05-06,Thank You,12
A01270,WhatsApp,2024-04-20,Application Status,6
A01271,Email,2024-05-25,Reminder,
A01272,Email,2024-05-05,Follow-Up,6
A01273,Email,2024-04-06,Reminder,24
A01274,Phone Call,2024-04-12,Application Status,12
A01275,WhatsApp,2024-08-24,Reminder,4
A01276,Email,2024-02-29,Reminder,4
A01277,WhatsApp,2024-03-19,Thank You,2
A01278,Email,2024-01-05,Application Status,48
A01279,Email,2024-05-14,Application Status,48
A01280,Phone Call,2024-10-12,Application Status,12
A01281,Email,2024-06-25,Application Status,48
A01282,Phone Call,2024-09-12,Reminder,
A01283,Email,2024-01-20,Thank You,2
A01284,WhatsApp,2024-02-08,Reminder,2
A01285,WhatsApp,2024-09-20,Reminder,4
A01286,Phone Call,2024-03-23,Application Status,6
A01287,WhatsApp,2024-07-20,Reminder,24
A01288,Phone Call,2024-05-18,Thank You,24
A01289,WhatsApp,2024-04-12,Reminder,24
A01290,Phone Call,2024-04-28,Application Status,
A01291,WhatsApp,2024-07-12,Application Status,2
A01292,Phone Call,2024-03-23,Thank You,24
A01293,Phone Call,2024-06-17,Follow-Up,48
A01294,Email,2024-10-30,Follow-Up,6
A01295,WhatsApp,2024-03-24,Application Status,12
A01296,Email,2024-05-03,Follow-Up,2
A01297,Email,2024-09-16,Thank You,
A01298,Email,2024-07-07,Application Status,24
A01299,Email,2024-06-06,Follow-Up,6
A01300,WhatsApp,2024-03-25,Reminder,12
A01301,Email,2024-02-02,Application Status,6
A01302,Email,2024-01-29,Reminder,12
A01303,Phone Call,2024-10-14,Application Status,12
A01304,Phone Call,2024-02-10,Follow-Up,24
A01305,Phone Call,2024-11-07,Reminder,12
A01306,Email,2024-02-14,Application Status,12
A01307,Phone Call,2023-12-31,Follow-Up,24
A01308,Email,2024-11-28,Reminder,6
A01309,Phone Call,2024-08-17,Thank You,12
A01310,Email,2024-05-03,Application Status,
A01311,Phone Call,2024-08-16,Follow-Up,48
A01312,Phone Call,2024-01-15,Reminder,
A01313,WhatsApp,2024-03-24,Follow-Up,24
A01314,Email,2024-03-26,Reminder,6
A01315,Email,2024-06-29,Application Status,
A01316,Phone Call,2024-06-11,Reminder,24
A01317,Phone Call,2024-10-04,Reminder,24
A01318,Email,2024-09-24,Thank You,4
A01319,WhatsApp,2024-11-12,Thank You,48
A01320,WhatsApp,2024-07-05,Application Status,24
A01321,Phone Call,2024-03-25,Thank You,
A01322,Phone Call,2024-09-06,Reminder,6
A01323,Email,2024-01-29,Application Status,4
A01324,Phone Call,2024-09-27,Follow-Up,
A01325,Email,2024-12-04,Application Status,48
A01326,WhatsApp,2024-04-19,Application Status,24
A01327,Phone Call,2024-04-03,Follow-Up,24
A01328,Phone Call,2024-03-27,Reminder,2
A01329,Phone Call,2024-07-18,Application Status,
A01330,Phone Call,2023-12-13,Application Status,6
A01331,WhatsApp,2024-02-05,Thank You,2
A01332,Phone Call,2024-01-19,Thank You,12
A01333,WhatsApp,2024-11-23,Application Status,
A01334,Phone Call,2024-11-06,Thank You,6
A01335,Email,2024-11-15,Thank You,48
A01336,Phone Call,2024-01-07,Thank You,24
A01337,WhatsApp,2024-11-30,Reminder,24
A01338,WhatsApp,2024-04-18,Reminder,4
A01339,Email,2024-03-18,Reminder,4
A01340,Phone Call,2024-09-26,Thank You,48
A01341,Phone Call,2024-11-16,Application Status,
A01342,WhatsApp,2024-09-06,Follow-Up,2
A01343,Email,2024-06-27,Reminder,
A01344,WhatsApp,2024-06-01,Reminder,6
A01345,Email,2024-10-04,Application Status,24
A01346,Email,2024-01-11,Thank You,2
A01347,Phone Call,2024-03-03,Reminder,6
A01348,Phone Call,2024-05-28,Follow-Up,6
A01349,Phone Call,2023-12-29,Reminder,4
A01350,WhatsApp,2024-01-10,Follow-Up,48
A01351,WhatsApp,2024-03-02,Follow-Up,
A01352,Email,2024-10-17,Application Status,2
A01353,Email,2024-04-08,Thank You,24
A01354,Email,2023-12-11,Application Status,4
A01355,WhatsApp,2024-08-13,Thank You,4
A01356,Email,2024-02-21,Follow-Up,48
A01357,Phone Call,2024-06-30,Follow-Up,4
A01358,WhatsApp,2024-10-28,Thank You,12
A01359,WhatsApp,2023-12-22,Follow-Up,6
A01360,Email,2024-01-02,Thank You,2
A01361,Phone Call,2024-04-05,Reminder,2
A01362,WhatsApp,2024-03-26,Follow-Up,
A01363,WhatsApp,2024-02-09,Reminder,2
A01364,WhatsApp,2024-02-03,Application Status,4
A01365,WhatsApp,2024-08-18,Thank You,12
A01366,Email,2024-09-11,Follow-Up,2
A01367,Email,2024-09-16,Thank You,6
A01368,WhatsApp,2024-09-09,Follow-Up,
A01369,Phone Call,2024-10-21,Application Status,4
A01370,Phone Call,2024-03-15,Reminder,12
A01371,Email,2024-01-20,Application Status,12
A01372,WhatsApp,2024-04-02,Reminder,2
A01373,Email,2023-12-19,Follow-Up,48
A01374,Email,2023-12-23,Thank You,
A01375,Email,2024-01-11,Follow-Up,2
A01376,WhatsApp,2024-10-29,Follow-Up,6
A01377,Phone Call,2024-04-01,Thank You,24
A01378,Email,2024-05-07,Application Status,4
A01379,WhatsApp,2024-07-02,Reminder,6
A01380,Phone Call,2024-01-17,Application Status,12
A01381,Email,2024-09-20,Follow-Up,
A01382,Phone Call,2024-07-03,Reminder,48
A01383,Phone Call,2024-01-24,Follow-Up,
A01384,Email,2024-08-19,Thank You,4
A01385,Phone Call,2024-02-25,Reminder,2
A01386,Email,2024-02-21,Application Status,6
A01387,Phone Call,2024-06-10,Reminder,4
A01388,Email,2024-07-04,Reminder,4
A01389,Phone Call,2024-06-09,Follow-Up,2
A01390,Email,2024-09-21,Follow-Up,6
A01391,Email,2024-02-20,Follow-Up,6
A01392,WhatsApp,2024-05-26,Reminder,4
A01393,Email,2024-03-07,Reminder,48
A01394,WhatsApp,2023-12-28,Reminder,48
A01395,Phone Call,2024-04-28,Thank You,
A01396,WhatsApp,2024-10-19,Follow-Up,4
A01397,WhatsApp,2023-12-15,Follow-Up,24
A01398,Email,2023-12-20,Reminder,24
A01399,WhatsApp,2024-05-09,Application Status,48
A01400,WhatsApp,2024-05-03,Reminder,24
A01401,WhatsApp,2024-12-03,Follow-Up,6
A01402,WhatsApp,2024-07-17,Thank You,48
A01403,WhatsApp,2024-10-10,Follow-Up,24
A01404,WhatsApp,2024-05-20,Thank You,24
A01405,Phone Call,2024-05-16,Follow-Up,2
A01406,WhatsApp,2024-10-04,Thank You,12
A01407,WhatsApp,2024-06-25,Reminder,48
A01408,Email,2024-01-09,Follow-Up,
A01409,Phone Call,2024-10-23,Thank You,48
A01410,Phone Call,2024-05-18,Thank You,48
A01411,Email,2024-11-29,Application Status,2
A01412,Phone Call,2024-07-08,Reminder,
A01413,Email,2024-01-20,Application Status,4
A01414,WhatsApp,2023-12-26,Thank You,48
A01415,Phone Call,2024-11-27,Thank You,
A01416,Phone Call,2024-11-16,Reminder,
A01417,Email,2024-12-06,Reminder,24
A01418,Email,2024-07-08,Thank You,4
A01419,Phone Call,2024-01-11,Thank You,4
A01420,WhatsApp,2024-03-03,Reminder,4
A01421,Phone Call,2024-08-16,Application Status,
A01422,Email,2024-12-09,Follow-Up,6
A01423,Phone Call,2024-07-04,Follow-Up,
A01424,Phone Call,2024-07-30,Follow-Up,
A01425,Email,2024-11-02,Follow-Up,12
A01426,Phone Call,2024-03-19,Application Status,48
A01427,Email,2024-08-21,Application Status,4
A01428,Email,2024-07-23,Thank You,
A01429,WhatsApp,2024-10-18,Follow-Up,
A01430,Phone Call,2023-12-12,Application Status,2
A01431,Phone Call,2024-02-28,Follow-Up,6
A01432,WhatsApp,2024-11-08,Reminder,6
A01433,Phone Call,2024-11-01,Follow-Up,2
A01434,Phone Call,2024-08-19,Follow-Up,6
A01435,WhatsApp,2024-09-06,Thank You,24
A01436,Email,2024-06-26,Follow-Up,2
A01437,WhatsApp,2024-11-21,Reminder,48
A01438,WhatsApp,2024-09-16,Follow-Up,48
A01439,Phone Call,2024-01-11,Thank You,
A01440,WhatsApp,2024-11-14,Application Status,48
A01441,Email,2024-01-02,Follow-Up,2
A01442,Phone Call,2024-02-26,Thank You,48
A01443,WhatsApp,2024-10-05,Thank You,12
A01444,Phone Call,2024-04-23,Thank You,6
A01445,WhatsApp,2024-05-07,Reminder,12
A01446,Phone Call,2024-02-01,Application Status,48
A01447,WhatsApp,2024-02-25,Application Status,24
A01448,WhatsApp,2024-07-03,Follow-Up,4
A01449,WhatsApp,2024-09-24,Reminder,2
A01450,WhatsApp,2024-07-09,Thank You,24
A01451,Phone Call,2024-07-25,Follow-Up,2
A01452,WhatsApp,2024-06-14,Thank You,24
A01453,Email,2024-07-16,Follow-Up,2
A01454,WhatsApp,2024-05-21,Thank You,4
A01455,Phone Call,2024-07-05,Application Status,24
A01456,Phone Call,2024-01-25,Follow-Up,24
A01457,WhatsApp,2024-03-28,Follow-Up,4
A01458,WhatsApp,2024-10-10,Application Status,
A01459,Phone Call,2024-11-17,Application Status,6
A01460,Phone Call,2024-03-10,Reminder,2
A01461,WhatsApp,2024-10-01,Reminder,24
A01462,Email,2024-09-17,Application Status,12
A01463,WhatsApp,2024-05-23,Follow-Up,4
A01464,WhatsApp,2024-08-08,Reminder,4
A01465,Email,2024-11-10,Follow-Up,12
A01466,WhatsApp,2024-09-12,Follow-Up,
A01467,Email,2024-05-12,Thank You,
A01468,WhatsApp,2024-03-29,Follow-Up,24
A01469,Phone Call,2024-10-06,Follow-Up,12
A01470,Email,2024-07-19,Thank You,
A01471,WhatsApp,2023-12-13,Application Status,4
A01472,Phone Call,2024-05-24,Reminder,24
A01473,Phone Call,2024-03-26,Application Status,2
A01474,Phone Call,2024-06-16,Follow-Up,24
A01475,Email,2024-08-22,Follow-Up,48
A01476,Email,2024-05-27,Thank You,48
A01477,Phone Call,2024-06-15,Follow-Up,
A01478,WhatsApp,2024-06-27,Follow-Up,48
A01479,Phone Call,2024-05-23,Follow-Up,24
A01480,WhatsApp,2024-01-09,Application Status,6
A01481,WhatsApp,2023-12-13,Reminder,4
A01482,Email,2024-02-15,Follow-Up,4
A01483,Phone Call,2024-09-26,Reminder,6
A01484,Email,2024-01-17,Reminder,48
A01485,Email,2024-08-09,Thank You,48
A01486,WhatsApp,2024-08-14,Application Status,12
A01487,WhatsApp,2024-08-22,Reminder,4
A01488,WhatsApp,2024-11-03,Application Status,48
A01489,WhatsApp,2024-09-13,Follow-Up,24
A01490,Email,2024-07-07,Thank You,2
A01491,WhatsApp,2023-12-15,Reminder,24
A01492,WhatsApp,2024-11-24,Reminder,24
A01493,Email,2024-03-28,Follow-Up,48
A01494,Email,2024-05-30,Follow-Up,12
A01495,WhatsApp,2024-05-28,Thank You,6
A01496,Email,2023-12-23,Thank You,2
A01497,Email,2024-05-20,Reminder,
A01498,WhatsApp,2024-07-30,Thank You,48
A01499,Email,2024-02-29,Thank You,2
A01500,Email,2024-08-18,Thank You,48
A01501,Email,2024-09-19,Thank You,24
A01502,Phone Call,2024-08-21,Follow-Up,24
A01503,WhatsApp,2024-08-21,Thank You,6
A01504,WhatsApp,2024-08-29,Application Status,2
A01505,Email,2024-04-29,Follow-Up,6
A01506,Email,2024-03-30,Reminder,6
A01507,Phone Call,2024-02-28,Reminder,4
A01508,WhatsApp,2024-11-20,Thank You,4
A01509,Email,2024-11-25,Reminder,6
A01510,Email,2024-02-24,Thank You,24
A01511,Phone Call,2024-03-14,Reminder,12
A01512,Phone Call,2024-04-09,Follow-Up,48
A01513,Email,2024-08-01,Reminder,
A01514,Email,2024-05-18,Follow-Up,24
A01515,Email,2024-02-18,Reminder,12
A01516,WhatsApp,2024-03-23,Thank You,
A01517,Phone Call,2024-09-20,Reminder,12
A01518,Phone Call,2024-07-26,Thank You,2
A01519,Phone Call,2024-04-23,Thank You,48
A01520,Phone Call,2024-11-07,Thank You,48
A01521,Email,2024-07-25,Thank You,2
A01522,Phone Call,2024-09-01,Reminder,4
A01523,WhatsApp,2024-05-19,Follow-Up,12
A01524,WhatsApp,2024-05-22,Reminder,48
A01525,Email,2024-06-06,Thank You,48
A01526,WhatsApp,2024-10-03,Follow-Up,6
A01527,WhatsApp,2024-05-02,Application Status,24
A01528,Phone Call,2024-07-10,Follow-Up,48
A01529,WhatsApp,2024-06-05,Thank You,2
A01530,WhatsApp,2024-04-19,Reminder,48
A01531,Phone Call,2024-07-20,Reminder,48
A01532,Email,2024-08-27,Reminder,
A01533,Email,2024-02-07,Thank You,2
A01534,Email,2024-09-19,Application Status,24
A01535,Phone Call,2024-07-26,Thank You,12
A01536,Email,2024-04-05,Follow-Up,48
A01537,WhatsApp,2024-10-08,Follow-Up,24
A01538,WhatsApp,2024-08-08,Reminder,
A01539,Email,2024-12-03,Thank You,48
A01540,Phone Call,2024-10-25,Follow-Up,6
A01541,Phone Call,2024-06-30,Follow-Up,
A01542,Email,2023-12-17,Application Status,24
A01543,Phone Call,2024-04-22,Follow-Up,48
A01544,WhatsApp,2024-03-24,Application Status,12
A01545,Email,2024-12-02,Thank You,6
A01546,Phone Call,2024-09-10,Follow-Up,12
A01547,Email,2024-05-10,Follow-Up,6
A01548,WhatsApp,2024-07-17,Reminder,
A01549,WhatsApp,2023-12-29,Application Status,
A01550,WhatsApp,2024-07-26,Thank You,
A01551,WhatsApp,2024-04-14,Application Status,2
A01552,Email,2024-03-14,Follow-Up,2
A01553,Email,2024-07-15,Reminder,2
A01554,WhatsApp,2024-04-30,Thank You,2
A01555,Phone Call,2024-02-01,Reminder,4
A01556,Phone Call,2024-04-26,Reminder,4
A01557,Phone Call,2024-09-28,Follow-Up,2
A01558,Email,2024-05-23,Follow-Up,6
A01559,WhatsApp,2024-10-12,Reminder,
A01560,Email,2024-06-24,Application Status,2
A01561,Email,2024-07-20,Thank You,48
A01562,WhatsApp,2024-08-26,Reminder,4
A01563,Phone Call,2024-10-23,Application Status,12
A01564,Email,2024-11-03,Thank You,6
A01565,WhatsApp,2024-05-02,Follow-Up,48
A01566,Phone Call,2024-02-13,Thank You,
A01567,Phone Call,2024-06-27,Application Status,2
A01568,Phone Call,2024-09-12,Thank You,24
A01569,Phone Call,2024-06-07,Thank You,4
A01570,Phone Call,2024-10-16,Follow-Up,12
A01571,Phone Call,2023-12-25,Thank You,48
A01572,WhatsApp,2024-02-16,Reminder,
A01573,Email,2024-10-10,Follow-Up,2
A01574,WhatsApp,2024-05-11,Follow-Up,24
A01575,Email,2024-11-25,Application Status,48
A01576,Phone Call,2024-08-28,Follow-Up,24
A01577,Email,2024-06-05,Follow-Up,48
A01578,WhatsApp,2024-06-09,Follow-Up,2
A01579,WhatsApp,2024-12-07,Application Status,
A01580,Phone Call,2024-01-17,Thank You,12
A01581,Phone Call,2024-10-14,Application Status,12
A01582,Email,2024-03-10,Thank You,4
A01583,Phone Call,2024-04-14,Reminder,
A01584,WhatsApp,2024-11-20,Reminder,48
A01585,Phone Call,2024-10-20,Application Status,24
A01586,WhatsApp,2024-06-15,Follow-Up,2
A01587,WhatsApp,2024-06-05,Reminder,2
A01588,Email,2024-03-09,Thank You,6
A01589,Email,2024-08-24,Application Status,12
A01590,WhatsApp,2024-11-07,Application Status,4
A01591,Phone Call,2024-02-18,Application Status,
A01592,WhatsApp,2024-09-07,Thank You,12
A01593,Email,2024-07-23,Application Status,12
A01594,WhatsApp,2024-01-09,Reminder,
A01595,WhatsApp,2024-04-09,Thank You,12
A01596,WhatsApp,2024-03-07,Application Status,6
A01597,Phone Call,2024-06-27,Thank You,12
A01598,Phone Call,2024-03-09,Application Status,2
A01599,WhatsApp,2024-06-19,Follow-Up,12
A01600,Email,2024-01-04,Application Status,48
A01601,WhatsApp,2023-12-30,Thank You,6
A01602,WhatsApp,2024-06-27,Reminder,6
A01603,WhatsApp,2024-12-02,Follow-Up,2
A01604,Email,2024-04-19,Application Status,6
A01605,WhatsApp,2024-03-01,Thank You,48
A01606,Email,2024-12-02,Thank You,12
A01607,WhatsApp,2024-06-29,Application Status,24
A01608,Phone Call,2024-08-22,Follow-Up,
A01609,WhatsApp,2024-11-27,Application Status,
A01610,Email,2024-01-17,Follow-Up,6
A01611,WhatsApp,2024-07-22,Follow-Up,
A01612,Email,2023-12-16,Follow-Up,4
A01613,Phone Call,2024-09-11,Reminder,48
A01614,Phone Call,2024-01-10,Follow-Up,4
A01615,Email,2024-10-22,Thank You,48
A01616,WhatsApp,2024-02-14,Reminder,48
A01617,WhatsApp,2024-05-24,Reminder,6
A01618,Phone Call,2024-06-08,Reminder,24
A01619,Phone Call,2024-06-08,Follow-Up,6
A01620,Phone Call,2024-09-25,Follow-Up,4
A01621,Phone Call,2024-08-24,Thank You,12
A01622,Email,2024-01-14,Reminder,48
A01623,Email,2024-08-10,Thank You,48
A01624,WhatsApp,2024-03-10,Application Status,6
A01625,WhatsApp,2024-04-03,Reminder,12
A01626,WhatsApp,2024-08-08,Follow-Up,4
A01627,Phone Call,2024-02-26,Reminder,4
A01628,Phone Call,2024-12-06,Reminder,2
A01629,Phone Call,2024-03-31,Thank You,4
A01630,WhatsApp,2024-04-25,Follow-Up,12
A01631,Phone Call,2024-08-09,Application Status,6
A01632,Phone Call,2024-02-26,Follow-Up,24
A01633,Email,2024-09-27,Reminder,12
A01634,Phone Call,2024-02-20,Thank You,4
A01635,WhatsApp,2024-04-06,Reminder,
A01636,Phone Call,2024-05-17,Follow-Up,24
A01637,WhatsApp,2024-11-12,Reminder,4
A01638,WhatsApp,2024-07-02,Follow-Up,2
A01639,Phone Call,2024-04-17,Reminder,12
A01640,Phone Call,2024-11-07,Reminder,48
A01641,Email,2024-09-19,Reminder,12
A01642,Phone Call,2024-11-08,Reminder,4
A01643,Email,2024-03-13,Reminder,24
A01644,Phone Call,2024-05-11,Thank You,
A01645,Phone Call,2024-02-24,Thank You,12
A01646,Phone Call,2024-08-07,Application Status,
A01647,Phone Call,2023-12-13,Follow-Up,12
A01648,Phone Call,2024-11-06,Follow-Up,24
A01649,WhatsApp,2023-12-19,Thank You,12
A01650,WhatsApp,2024-09-16,Reminder,2
A01651,WhatsApp,2024-10-30,Thank You,12
A01652,WhatsApp,2024-02-27,Reminder,2
A01653,Email,2024-03-06,Thank You,24
A01654,Email,2024-05-06,Application Status,
A01655,Email,2024-04-22,Reminder,12
A01656,Email,2024-01-25,Thank You,12
A01657,WhatsApp,2024-02-14,Follow-Up,48
A01658,Phone Call,2024-08-08,Reminder,24
A01659,WhatsApp,2024-02-13,Follow-Up,6
A01660,Phone Call,2024-01-22,Application Status,
A01661,Phone Call,2024-07-06,Follow-Up,2
A01662,Email,2024-05-16,Thank You,4
A01663,Phone Call,2024-07-27,Application Status,2
A01664,Phone Call,2024-11-13,Follow-Up,12
A01665,Phone Call,2024-08-07,Reminder,6
A01666,Phone Call,2024-02-26,Follow-Up,48
A01667,Email,2024-10-09,Reminder,4
A01668,WhatsApp,2024-02-02,Follow-Up,
A01669,Phone Call,2024-09-28,Follow-Up,48
A01670,WhatsApp,2024-06-14,Reminder,24
A01671,Email,2024-08-17,Thank You,2
A01672,WhatsApp,2024-11-19,Application Status,2
A01673,Phone Call,2024-04-27,Follow-Up,4
A01674,Email,2024-08-27,Follow-Up,2
A01675,Phone Call,2024-03-25,Reminder,12
A01676,WhatsApp,2024-03-31,Thank You,
A01677,Email,2024-04-08,Application Status,2
A01678,Phone Call,2024-11-19,Reminder,4
A01679,Email,2024-11-03,Reminder,12
A01680,Phone Call,2024-12-06,Follow-Up,2
A01681,WhatsApp,2024-08-02,Thank You,
A01682,Phone Call,2024-07-14,Reminder,2
A01683,Email,2024-04-10,Thank You,6
A01684,Phone Call,2024-10-04,Thank You,12
A01685,Email,2024-02-12,Thank You,24
A01686,Phone Call,2024-07-07,Reminder,24
A01687,Phone Call,2024-01-03,Thank You,24
A01688,Email,2024-08-03,Follow-Up,4
A01689,WhatsApp,2024-07-14,Follow-Up,2
A01690,Phone Call,2024-08-27,Thank You,6
A01691,Phone Call,2024-08-03,Application Status,
A01692,Phone Call,2024-09-04,Application Status,48
A01693,WhatsApp,2024-05-21,Application Status,4
A01694,Email,2024-02-20,Thank You,48
A01695,Email,2024-04-16,Thank You,
A01696,WhatsApp,2024-04-29,Reminder,48
A01697,Phone Call,2024-11-18,Application Status,6
A01698,Phone Call,2024-01-18,Reminder,2
A01699,Phone Call,2024-11-30,Thank You,6
A01700,Email,2024-04-14,Follow-Up,48
A01701,WhatsApp,2024-05-26,Thank You,6
A01702,WhatsApp,2024-11-06,Thank You,48
A01703,Phone Call,2024-07-03,Follow-Up,48
A01704,Email,2024-08-24,Thank You,24
A01705,Email,2023-12-11,Thank You,
A01706,Email,2024-10-08,Application Status,4
A01707,Email,2024-11-12,Reminder,6
A01708,Phone Call,2024-04-28,Reminder,48
A01709,Phone Call,2024-02-04,Follow-Up,
A01710,Email,2024-01-19,Reminder,6
A01711,Email,2024-11-13,Thank You,24
A01712,Email,2024-03-14,Application Status,48
A01713,Phone Call,2024-04-19,Application Status,24
A01714,WhatsApp,2024-02-24,Thank You,12
A01715,Email,2024-08-21,Application Status,
A01716,WhatsApp,2024-03-09,Follow-Up,6
A01717,WhatsApp,2024-04-20,Follow-Up,24
A01718,Phone Call,2024-11-16,Reminder,6
A01719,Phone Call,2024-05-21,Thank You,48
A01720,Phone Call,2024-11-03,Follow-Up,12
A01721,WhatsApp,2024-06-09,Follow-Up,
A01722,Email,2024-08-29,Thank You,48
A01723,Phone Call,2024-06-27,Reminder,6
A01724,Phone Call,2024-12-03,Application Status,4
A01725,Email,2024-05-19,Follow-Up,4
A01726,Email,2024-09-07,Reminder,
A01727,Email,2024-01-20,Thank You,12
A01728,Email,2024-03-09,Application Status,4
A01729,Email,2024-04-08,Reminder,12
A01730,Email,2024-09-19,Reminder,
A01731,WhatsApp,2024-08-21,Thank You,12
A01732,WhatsApp,2024-11-29,Application Status,24
A01733,Email,2024-09-15,Application Status,2
A01734,WhatsApp,2024-01-27,Follow-Up,
A01735,WhatsApp,2024-01-17,Reminder,24
A01736,Phone Call,2024-02-23,Thank You,
A01737,WhatsApp,2024-05-02,Follow-Up,6
A01738,WhatsApp,2023-12-24,Application Status,24
A01739,Email,2024-01-30,Follow-Up,
A01740,Phone Call,2024-03-08,Application Status,4
A01741,Phone Call,2024-09-24,Application Status,6
A01742,WhatsApp,2024-11-04,Thank You,4
A01743,WhatsApp,2024-04-09,Thank You,24
